ORAN;DURUM;PROGRAM
3;AKTİF;ÇALIŞMA EKONOMİSİ VE ENDÜSTRİ İLİŞKİLERİ                                                            
3;AKTİF;SİYASET BİLİMİ VE KAMU YÖNETİMİ                                                                     
3;AKTİF;ELEKTRİK ENERJİSİ ÜRETİM İLETİM VE DAĞITIMI
3;AKTİF;SOSYOLOJİ                                                                                           
3;AKTİF;ÇALIŞMA EKONOMİSİ VE ENDÜSTRİ İLİŞKİLERİ                                                            
3;AKTİF;SİYASET BİLİMİ VE KAMU YÖNETİMİ                                                                     
3;AKTİF;TARIM TEKNOLOJİSİ                                                                                   
3;AKTİF;SOSYOLOJİ                                                                                           
3;AKTİF;ÇALIŞMA EKONOMİSİ VE ENDÜSTRİ İLİŞKİLERİ                                                            
3;AKTİF;SİYASET BİLİMİ VE KAMU YÖNETİMİ                                                                     
3;AKTİF;AŞÇILIK                                                                                             
3;AKTİF;BÜRO YÖNETİMİ VE YÖNETİCİ ASİSTANLIĞI                                                               
3;AKTİF;İNSAN KAYNAKLARI YÖNETİMİ                                                                           
3;AKTİF;İŞLETME                                                                                             
3;AKTİF;SAĞLIK YÖNETİMİ                                                                                     
3;AKTİF;TARİH                                                                                               
3;AKTİF;HALKLA İLİŞKİLER VE TANITIM                                                                         
3;AKTİF;SİYASET BİLİMİ VE KAMU YÖNETİMİ                                                                     
3;AKTİF;SAĞLIK YÖNETİMİ                                                                                     
3;AKTİF;TARİH                                                                                               
3;AKTİF;HALKLA İLİŞKİLER VE TANITIM                                                                         
3;AKTİF;SİYASET BİLİMİ VE KAMU YÖNETİMİ                                                                     
3;AKTİF;YAŞLI BAKIMI                                                                                        
3;AKTİF;TARİH                                                                                               
3;AKTİF;YAŞLI BAKIMI                                                                                        
3;AKTİF;İŞLETME                                                                                             
3;AKTİF;YAŞLI BAKIMI                                                                                        
3;AKTİF;TARİH                                                                                               
3;AKTİF;YAŞLI BAKIMI                                                                                        
3;AKTİF;İŞLETME                                                                                             
3;AKTİF;COĞRAFİ BİLGİ SİSTEMLERİ                                                                            
