word,count
yöneldim,21
sikkeleri,21
solgun,21
avrupa,21
tarihsel,21
halkı,21
zeynepi,21
çarptı,21
elde,21
olanları,21
deyince,21
ol,21
söylemek,21
barkının,21
adlı,21
etkili,21
sesinde,21
göstererek,21
duruyordu,21
yapmaya,20
teodora,20
selim,20
heyecanlı,20
arkadaşlarım,20
antik,20
saygıyla,20
teodosiusun,20
kadarıyla,20
hakan,20
kaydı,20
gelecek,20
kimin,20
arkadaşları,20
hayvan,20
evden,20
kesinlikle,20
anlaşılan,20
deli,20
güney,20
gemisi,20
mutlaka,20
neydi,20
sözcükler,20
müzik,20
kuşkusuz,20
kendiliğinden,20
yerini,20
w,20
sorun,20
ânı,20
bekliyor,20
kente,20
gelir,20
kınacı,20
dikerek,20
yezdanı,20
aldırmadan,20
şaka,20
zamanında,20
sultanın,20
azından,20
edilmiş,20
yanma,20
nedeni,20
çocukluk,20
sustu,20
olma,20
alo,20
belirmişti,20
ordusunun,20
kapalı,20
parayı,20
utku,20
başlayan,20
tutan,20
at,20
olmasın,20
arkasındaki,20
ışığı,20
sevgili,20
oluyordu,20
haç,20
yayıldı,20
takıldı,20
arkadaşı,20
canlı,20
sarayının,20
kuran,20
dar,20
tüm,19
ilgi,19
ilan,19
söyleyeyim,19
aceleyle,19
odada,19
görev,19
elimizde,19
masaya,19
denizi,19
önceden,19
kalktı,19
zafer,19
giderek,19
istediği,19
yüce,19
kaldım,19
cyrus,19
sevgi,19
yaşadığı,19
sokağa,19
bizzat,19
aşağı,19
elimi,19
önünden,19
ölüme,19
arkadaşım,19
iskemleye,19
doğu,19
sinanın,19
kimseyi,19
telaşla,19
sikkeyi,19
yarısı,19
edilen,19
ulusal,19
baba,19
sikkeler,19
parmak,19
namıkı,19
gözlerim,19
anlatmaya,19
bırakın,19
öğrenmek,19
arkadaş,19
kırıklığı,19
halka,19
alev,19
konu,19
erkek,19
kimi,19
kanı,19
padişah,19
olmadığı,19
sıkıntıyla,19
şeyin,19
onlarla,19
katilin,19
romanın,19
büyülü,19
karşısına,19
hayata,19
etme,19
ortalıkta,19
öldürmek,19
