word,count,source
bardağa,2,sayi_11
bardağı,2,sayi_11
el,2,sayi_11
defterimi,2,sayi_11
elbette,2,sayi_11
insanı,2,sayi_11
ele,2,sayi_11
hissetmemi,2,sayi_11
batı,2,sayi_11
demir,2,sayi_11
elife,2,sayi_11
geçin,2,sayi_11
geçip,2,sayi_11
karnını,2,sayi_11
bayrağım,2,sayi_11
demişti,2,sayi_11
bayrağını,2,sayi_11
baz,2,sayi_11
elinde,2,sayi_11
elinden,2,sayi_11
geçiyor,2,sayi_11
denize,2,sayi_11
hoca,2,sayi_11
denizleri,2,sayi_11
bağırmış,2,sayi_11
hafifçe,2,sayi_11
baş,2,sayi_11
geçmişin,2,sayi_11
der,2,sayi_11
geçmişle,2,sayi_11
içlerinde,2,sayi_11
karton,2,sayi_11
dergi,2,sayi_11
başladık,2,sayi_11
geçtiğini,2,sayi_11
ipleri,2,sayi_11
derin,2,sayi_11
derinlerine,2,sayi_11
hak,2,sayi_11
derken,2,sayi_11
başlarız,2,sayi_11
emmioğlu,2,sayi_11
derman,2,sayi_11
kelebek,2,sayi_11
hakkı,2,sayi_11
konuşmak,2,sayi_11
kış,2,sayi_11
leipzig,2,sayi_11
lisesinde,2,sayi_11
koruyucusu,2,sayi_11
maarif,2,sayi_11
macera,2,sayi_11
makedonyanın,2,sayi_11
makinesi,2,sayi_11
masal,2,sayi_11
masallar,2,sayi_11
masallarda,2,sayi_11
masanın,2,sayi_11
materyaller,2,sayi_11
konusunu,2,sayi_11
mavisinin,2,sayi_11
maçta,2,sayi_11
konserimi,2,sayi_11
mehmeti,2,sayi_11
mehmetim,2,sayi_11
mekâna,2,sayi_11
koyun,2,sayi_11
merdivende,2,sayi_11
metin,2,sayi_11
komşu,2,sayi_11
millet,2,sayi_11
kola,2,sayi_11
mirası,2,sayi_11
mis,2,sayi_11
kokusu,2,sayi_11
koyunlarıyla,2,sayi_11
mutfağa,2,sayi_11
korkut,2,sayi_11
mutluyum,2,sayi_11
mümkün,2,sayi_11
müze,2,sayi_11
kişi,2,sayi_11
kitapçi,2,sayi_11
nerede,2,sayi_11
neslihan,2,sayi_11
neyin,2,sayi_11
nezareti,2,sayi_11
neşeli,2,sayi_11
nice,2,sayi_11
nihayet,2,sayi_11
ninem,2,sayi_11
kitapları,2,sayi_11
ninniler,2,sayi_11
noktalama,2,sayi_11
noktalarının,2,sayi_11
odadan,2,sayi_11
dinlerken,2,sayi_11
biliyordum,2,sayi_11
okudukça,2,sayi_11
biliyor,2,sayi_11
okuldaki,2,sayi_11
okulu,2,sayi_11
okuma,2,sayi_11
okur,2,sayi_11
okurdu,2,sayi_11
okuruz,2,sayi_11
okuyup,2,sayi_11
olacağının,2,sayi_11
kimler,2,sayi_11
bilimleri,2,sayi_11
deniz,2,sayi_11
kapı,2,sayi_11
olduğum,2,sayi_11
şıngır,2,sayi_11
olmadan,2,sayi_11
bilmek,2,sayi_11
hâlâ,2,sayi_11
olmanın,2,sayi_11
olması,2,sayi_11
evine,2,sayi_11
olmaz,2,sayi_11
acayip,2,sayi_11
gizli,2,sayi_11
olmuştu,2,sayi_11
bilgi,2,sayi_11
kalemleri,2,sayi_11
bimberl,2,sayi_11
issn,2,sayi_11
diyordu,2,sayi_11
adil,2,sayi_11
oluyormuş,2,sayi_11
oluşturdu,2,sayi_11
oluşturmak,2,sayi_11
omzuna,2,sayi_11
biran,2,sayi_11
bilene,2,sayi_11
hüseyin,2,sayi_11
onlar,2,sayi_11
kullandığı,2,sayi_11
onlardan,2,sayi_11
etmişti,2,sayi_11
adımlarla,2,sayi_11
dilin,2,sayi_11
adın,2,sayi_11
ahalisi,2,sayi_11
orduyu,2,sayi_11
ortak,2,sayi_11
işini,2,sayi_11
otobüs,2,sayi_11
otrar,2,sayi_11
oynamayı,2,sayi_11
ahmet,2,sayi_11
oynayacağız,2,sayi_11
gururunu,2,sayi_11
istanbulda,2,sayi_11
ahşap,2,sayi_11
oyunlar,2,sayi_11
oyunları,2,sayi_11
oyunu,2,sayi_11
ozan,2,sayi_11
ozelegitimcocukmebgovtr,2,sayi_11
papağancık,2,sayi_11
para,2,sayi_11
dişleri,2,sayi_11
parayı,2,sayi_11
park,2,sayi_11
karşı,2,sayi_11
akar,2,sayi_11
kullandığım,2,sayi_11
birinin,2,sayi_11
doktora,2,sayi_11
kullanmak,2,sayi_11
akınlarda,2,sayi_11
paylaşarak,2,sayi_11
paylaşmak,2,sayi_11
